X,Y,OBJECTID,GIS_ID,GIS_FeatureKey,ShortName,Address,SchoolsType,SchoolBoards,SchoolTypes,LastEditDate,BeforeAndAfterSchoolProgram,ChildCareCentre
481049.6395,4753432,2606,82,White Oaks Public School,White Oaks,565 Bradley Ave,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
475055.6599,4760498,2607,83,Wilfrid Jury Public School,Wilfrid Jury,950 Lawson Rd,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
483057.8433,4754301,2608,84,Wilton Grove Public School,Wilton Grove,626 Osgoode Dr,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
476617.5047,4756955,2609,85,Woodland Heights Public School,Woodland Heights,474 Springbank Dr,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
479580.2152,4757141,2610,86,Wortley Road Public School,Wortley Road,301 Wortley Rd,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
482173.3447,4758391,2611,87,Lester B. Pearson School For The Arts,L.B. Pearson,795 Trafalgar St,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,,
477667.8414,4761834,2612,88,Western University,Western University,1151 Richmond St,Post Secondary,None,Post Secondary,2018/08/14 00:00:00+00,,
476945.562,4761320,2613,89,Brescia University College,Brescia University College,1285 Western Rd,Post Secondary,None,Post Secondary,2015/06/15 00:00:00+00,,
483834.966,4762179,2614,90,Fanshawe College,Fanshawe College,1001 Fanshawe College Blvd,Post Secondary,None,Post Secondary,2015/06/15 00:00:00+00,,
477347.7697,4761842,2615,91,Huron University College,Huron University College,1349 Western Rd,Post Secondary,None,Post Secondary,2015/06/15 00:00:00+00,,
479054.4254,4762211,2616,92,King's University College,King's University College,1070 Waterloo St,Post Secondary,None,Post Secondary,2015/06/15 00:00:00+00,,
